title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Four Rooms",movie,Comedy,1995,tt0113101,6.7,112543,DE
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2315370,"AU, CA, DE, US"
"Citizen Kane",movie,"Drama, Mystery",1941,tt0033467,8.3,472975,"DE, GB"
Metropolis,movie,"Drama, Sci-Fi",1927,tt0017136,8.3,189469,GB
"Kill Bill: Vol. 1",movie,"Action, Crime, Thriller",2003,tt0266697,8.2,1221385,"BR, CL, CO, MX"
"Apocalypse Now",movie,"Drama, Mystery, War",1979,tt0078788,8.4,724180,DE
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,443638,US
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1103137,AU
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,256535,"IN, US"
"12 Monkeys",movie,"Mystery, Sci-Fi, Thriller",1995,tt0114746,8,655494,AU
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,118694,DE
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,732539,DE
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,145814,AU
"War of the Worlds",movie,"Action, Adventure, Sci-Fi",2005,tt0407304,6.5,482721,"CA, US"
"Miami Vice",movie,"Action, Crime, Drama",2006,tt0430357,6.1,125819,"AU, US"
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57314,IN
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1053040,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,543152,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, VE"
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,263144,IN
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,823517,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,219733,US
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,141022,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1669857,"CA, US"
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104715,DE
"Lock, Stock and Two Smoking Barrels",movie,"Action, Comedy, Crime",1998,tt0120735,8.1,625291,"BR, CL, CO, IN, MX"
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1272401,DE
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,948510,US
